Month,Opening Principal Balance,Rates,Cashflow,Interest Paid,Principal Paid,Closing Princial Balance
251,474215.7896566585,0.05139999999999999,5454.102779424367,2031.2242990291816,3422.8784803951858,470792.9111762633
252,470792.9111762633,0.048600000000000004,5282.981337369884,-7522.651390617423,12805.632727987308,457987.278448276
253,457987.278448276,0.048600000000000004,5282.981337369884,1854.8484777153926,3428.1328596544918,454559.1455886215
254,454559.1455886215,0.048600000000000004,5282.981337369884,1840.964539633772,3442.0167977361125,451117.1287908854
255,451117.1287908854,0.048600000000000004,5282.981337369884,1827.024371602979,3455.9569657669053,447661.1718251185
256,447661.1718251185,0.048600000000000004,5282.981337369884,1813.0277458916526,3469.953591478232,444191.21823364025
257,444191.21823364025,0.048600000000000004,5282.981337369884,1798.9744338461887,3484.0069035236957,440707.21133011655
258,440707.21133011655,0.048600000000000004,5282.981337369884,1784.8642058868418,3498.1171314830426,437209.0941986335
259,437209.0941986335,0.048600000000000004,5282.981337369884,1770.696831504406,3512.2845058654784,433696.80969276803
260,433696.80969276803,0.048600000000000004,5282.981337369884,1756.4720792555008,3526.5092581143836,430170.30043465365
261,430170.30043465365,0.048600000000000004,5282.981337369884,1742.189716760301,3540.7916206095833,426629.50881404406
262,426629.50881404406,0.048600000000000004,5282.981337369884,1727.8495106968903,3555.131826672994,423074.37698737107
263,423074.37698737107,0.048600000000000004,5282.981337369884,1713.4512267987002,3569.530110571184,419504.8468767999
264,419504.8468767999,0.0395,4745.372358881794,-28169.903657155708,32915.276016037504,386589.5708607624
265,386589.5708607624,0.0395,4745.372358881794,1272.524004083285,3472.848354798509,383116.7225059639
266,383116.7225059639,0.0395,4745.372358881794,1261.092544915371,3484.279813966423,379632.44269199745
267,379632.44269199745,0.0395,4745.372358881794,1249.6234571945806,3495.748901687213,376136.69379031024
268,376136.69379031024,0.0395,4745.372358881794,1238.1166170596098,3507.255741822184,372629.43804848805
269,372629.43804848805,0.0395,4745.372358881794,1226.5719002429232,3518.8004586388706,369110.6375898492
270,369110.6375898492,0.0395,4745.372358881794,1214.9891820666799,3530.383176815114,365580.25441303407
271,365580.25441303407,0.0395,4745.372358881794,1203.3683374427328,3542.004021439061,362038.250391595
272,362038.250391595,0.0395,4745.372358881794,1191.7092408723383,3553.6631180094555,358484.58727358555
273,358484.58727358555,0.0395,4745.372358881794,1180.0117664421978,3565.360592439596,354919.22668114596
274,354919.22668114596,0.0395,4745.372358881794,1168.2757878253888,3577.096571056405,351342.13011008955
275,351342.13011008955,0.0395,4745.372358881794,1156.5011782791535,3588.8711806026404,347753.2589294869
276,347753.2589294869,0.0335,4407.1353094094975,-17244.736019076285,21651.87132848578,326101.38760100113
277,326101.38760100113,0.0335,4407.1353094094975,910.3663737194456,3496.768935690052,322604.6186653111
278,322604.6186653111,0.0335,4407.1353094094975,900.6045604406117,3506.5307489688857,319098.0879163422
